1;Han Potts;41;3.56;França;2773;[1338, 2628, 1408];False
2;Rose Jones;51;2.51;Canadá;3173;[1757, 1450, 3499];False
3;Gandalf Ripley;18;4.18;África do Sul;3379;[2346, 3907, 3954, 1387, 3037, 1284, 3933, 1254, 3225];True
4;Samwise Wick;53;4.1;Egito;2620;[1829, 3011, 3411, 1622, 1481, 2957, 1471, 3545, 1658];True
5;James McFly;19;1.26;Canadá;3171;[2652, 3394, 3467, 1008, 1459, 1178, 3350];True
6;Rose Kent;70;2.14;Portugal;1198;[2066, 2081, 3795, 1971, 3151, 1699, 3116, 1523, 1016, 3347];True
7;Clark DeWitt Bukater;18;2.32;Canadá;2863;[2808, 2429, 2937, 2400, 2321, 2215, 1027];True
8;Gwen Prince;38;3.44;Suécia;3533;[3063, 2854, 2187];False
9;Tony Ripley;21;3.37;Finlândia;2622;[];False
10;Pepper Stacy;18;2.63;África do Sul;3006;[1857, 1200, 1250, 3028, 3984, 1883, 1434];True
11;Leia Solo;77;1.75;Canadá;1506;[3399, 2207, 3200, 1317];False
12;Samwise Jones;77;4.22;Portugal;2912;[];False
13;John Baggins;24;3.75;Japão;3095;[3017, 1149, 3610, 3525, 2575];False
14;Frodo Wayne;34;1.25;Nova Zelândia;2389;[2303, 3310, 3952, 1395, 1864, 2237];True
15;Gwen Stacy;61;1.88;Suécia;2127;[3036, 2597];False
16;Ellen Stacy;50;4.91;França;2601;[];False
17;Anakin Bond;74;1.81;Noruega;2685;[3409];False
18;Bruce McFly;57;2.86;Itália;3041;[2090, 1762, 1389, 3845, 1193, 3993, 2176, 2913, 3897, 1176];True
19;James Stark;29;2.54;Itália;3453;[1796];False
20;Gandalf Grey;47;3.15;Nova Zelândia;3766;[2752, 2506, 1880, 3268, 3340, 2424];True
21;Jack Stark;52;3.69;Chile;2199;[];False
22;Pepper Parker;29;2.52;Chile;1323;[];False
23;Pepper Solo;55;1.14;México;2705;[1001, 2839, 2756, 1700, 1143, 2004, 2384];True
24;Peter Kent;76;1.12;Alemanha;1089;[2801, 2473, 1832, 2009, 3677, 1151, 2536, 2978];True
25;Anakin Ripley;46;4.63;Itália;3253;[1062, 1796];False
26;Peter Grey;44;1.99;África do Sul;1668;[2224, 1700, 2565, 2719, 2152, 3615];True
27;John Jones;47;1.29;Austrália;1616;[1005, 2014, 1206, 3742, 2660, 2745, 2313, 3309, 3080, 2715];True
28;Indiana Gamgee;18;4.77;Suécia;1390;[3929, 2574, 2399, 1086, 3421, 1443, 3999];True
29;Bruce Baggins;25;4.92;Índia;2352;[3719];False
30;Bruce Gamgee;39;3.12;Nova Zelândia;2813;[1053, 3680, 2394, 3049, 1935, 3914, 2056, 3348];True
31;Gandalf Kent;23;3.28;Finlândia;2519;[];False
32;Leia Dawson;77;2.45;Suécia;1858;[1101, 1856, 1935, 1205, 1504, 3208, 1252, 1009, 3639];True
33;Samwise Wick;34;2.26;Argentina;1330;[2612, 2307, 2413, 3614];False
34;Samwise Prince;58;4.99;Brasil;2305;[2857, 1063];False
35;Sarah Solo;71;3.02;Japão;1293;[2040, 3977, 2919, 2350, 1527, 1649];True
36;Bilbo Kent;61;3.31;Japão;3286;[];False
37;Leia Potts;35;1.97;Egito;1418;[3973, 1636, 2055, 1493];False
38;Bilbo Parker;50;3.91;França;2518;[2354, 2145, 2744, 2585];False
39;Luke Wick;43;4.13;África do Sul;2242;[3125, 3733];False
40;Leia Skywalker;32;2.36;Suécia;2558;[2708, 2523, 2372, 3374, 3377, 3946, 1310, 3659, 2239];True
41;Gwen Dawson;28;3.27;Japão;3695;[];False
42;Jack Ripley;30;2.53;Espanha;2077;[2194, 2515, 3101, 2019, 2834, 2937, 1250, 2386, 1614];True
43;Luke Kent;58;3.2;Coreia do Sul;1718;[1801, 3883, 3738, 1376];False
44;Jack Connor;42;1.53;Brasil;1237;[2980, 3829, 2428, 1838, 2595, 1457, 3176, 2646];True
45;Marty DeWitt Bukater;25;1.09;Coreia do Sul;3859;[3859, 3532, 1819, 1760];False
46;Emmett Prince;48;2.53;Canadá;1878;[1577, 2326, 1623, 3181, 2529, 2270, 1380];True
47;Ellen DeWitt Bukater;49;3.19;África do Sul;3265;[];False
48;James Bond;35;4.58;Brasil;3801;[1606, 3834, 2592, 2326, 3190];False
49;Emmett Wayne;70;2.74;Noruega;1617;[3155, 2544, 1161, 2330, 3661, 1345, 2704, 2232, 2367];True
50;Jack Stark;23;3.35;Japão;3545;[1295, 1702, 1676, 3238, 2108, 1918, 3244, 3506, 2733];True
51;Gandalf Skywalker;61;3.75;Coreia do Sul;1542;[1207, 2047, 2255];False
52;Peter Potts;51;4.23;México;2873;[];False
53;Rose Wick;52;4.97;Noruega;2275;[1896, 3157, 2040, 2363, 3386, 1897, 1088, 3370, 1126, 1472];True
54;Indiana Brown;47;1.61;Noruega;1035;[1513, 3395, 1744, 3871, 1135, 2519];True
55;Bruce DeWitt Bukater;70;2.83;Portugal;3253;[3482, 1761, 3439, 1101];False
56;Emmett Gamgee;75;3.82;Egito;2710;[2084, 3482, 2482, 1758];False
57;Indiana Skywalker;53;3.1;México;2858;[1387, 2869, 1372, 1668];False
58;Ellen Skywalker;45;1.47;Itália;2120;[3431, 3506, 1748];False
59;Tony Prince;39;2.7;México;1498;[3681, 1818, 2301, 2289, 3664, 2049, 3422, 3456, 1804, 2648];True
60;Emmett Connor;51;3.31;Suécia;2783;[1711, 3745, 2870, 2096];False
