1;Samwise Wick;25;4.32;Japão;1127;[3221, 2516, 1997, 1844, 3898, 2099, 3966, 1463, 2164, 2345];True
2;Tony Dawson;48;1.07;Nova Zelândia;3877;[3741, 3063, 3723];False
3;Frodo Ripley;21;1.67;Egito;1632;[3299, 2408, 1243];False
4;Tony Skywalker;37;3.36;Finlândia;2387;[2611, 1164, 2113, 2189, 2687, 2992, 3603];True
5;Indiana Jones;37;3.0;Austrália;3772;[2766];False
6;Anakin Bond;45;1.34;Alemanha;3753;[1888, 1115, 3682, 3865, 2634, 1714, 3131];True
7;Anakin Stacy;80;3.38;Coreia do Sul;3960;[3414, 1804, 1484, 3830, 2245, 3333];True
8;Han Skywalker;30;3.47;Brasil;1398;[2974, 3315, 1527, 1086, 2842, 2959, 2757, 1816, 2215];True
9;Gandalf Brown;41;3.83;Argentina;3970;[1088, 2118, 3616];False
10;Tony Stark;60;4.3;Canadá;2754;[3247, 3966, 1432, 1377, 2608, 3203, 1787, 1834];True
11;John Wayne;56;1.13;Itália;1310;[2995, 2010, 2129, 2704, 1816, 1999, 3269, 3786];True
12;Bilbo Ripley;31;3.3;Japão;1859;[2779, 3204, 1275, 1647, 3244, 3793, 3393];True
13;Bilbo Potts;62;2.13;Brasil;3458;[1707, 1086, 2055, 1482];False
14;Jack Wick;54;3.6;França;2195;[2543, 3435, 3681, 1381];False
15;Leia Kent;22;2.92;Espanha;2587;[1844, 1692];False
16;Emmett Bond;76;4.63;Nova Zelândia;2677;[];False
17;Diana Kent;31;2.4;Nova Zelândia;2969;[1844, 3143, 2850];False
18;Leia Connor;22;2.79;Índia;3940;[1160];False
19;Frodo Parker;68;4.44;Alemanha;3617;[3825, 2467, 2929, 3435, 1591, 3142];True
20;Anakin Baggins;57;2.66;Espanha;2956;[];False
21;Diana Prince;53;3.49;Espanha;3930;[3479, 2097, 1693, 2100, 2642, 2342, 3825, 2085, 2568, 3353];True
22;Ellen Stark;46;1.47;Suécia;1429;[1036, 2096, 2670, 1751, 2465, 2740, 3213];True
23;Peter Potts;73;3.72;Índia;3078;[1764, 3461, 2706, 3261, 3601, 2356, 1057, 1726, 1712];True
24;Bilbo Jones;42;2.47;França;1468;[1218, 3125, 1431, 3563];False
25;Bilbo Kent;70;4.37;África do Sul;1618;[3570, 2633, 3185, 1605, 3461, 1733, 3515, 1370];True
26;Rose McFly;58;1.25;França;2677;[3172, 3883, 1031, 3633, 1091, 2639];True
27;Marty McFly;20;2.0;Portugal;1349;[1063, 2245, 2346, 2585];False
28;Jack Grey;54;2.67;Brasil;3716;[2056, 1680, 1785, 2734, 2819, 2552, 1484, 1828];True
29;Diana Dawson;48;3.09;Índia;1356;[2731, 3622, 3252];False
30;Tony Gamgee;18;3.69;Japão;3120;[3661];False
31;Marty Connor;62;2.2;Espanha;1288;[3103, 3378, 2829];False
32;Luke Connor;67;3.7;África do Sul;2210;[1087, 3357, 2163, 2799, 3402, 2192, 2620];True
33;Pepper Wick;62;4.7;Nova Zelândia;1589;[1474, 3127, 2031, 3793];False
34;Emmett Bond;22;4.83;África do Sul;3520;[2038, 1570, 1367, 1926, 1797, 3355];True
35;Rose McFly;48;4.63;África do Sul;3000;[3212, 1191, 1757, 3521, 1839, 1288, 2652];True
36;Bilbo Grey;26;2.73;Chile;2551;[2590, 2140, 1241];False
37;Luke McFly;71;3.41;Portugal;1451;[2482, 2087];False
38;Emmett DeWitt Bukater;46;4.74;Brasil;1750;[1094, 2215, 1718, 2529];False
39;Bruce Parker;32;2.49;Itália;1020;[3141, 1323, 2569, 1253, 2480, 2631, 3992];True
40;Han Gamgee;66;1.3;Portugal;2114;[3902];False
41;Anakin Bond;35;1.9;Noruega;3883;[];False
42;Diana Prince;69;2.02;México;2448;[3305, 1722, 1786, 3219, 1000, 1196, 2451, 3906, 1020];True
43;Jack DeWitt Bukater;63;1.56;Austrália;1855;[2111, 2975, 3049];False
44;Diana Bond;64;1.18;Argentina;2472;[2407];False
45;Han Prince;37;1.64;Egito;1729;[3259, 3377, 3924];False
46;Luke DeWitt Bukater;42;2.54;Espanha;1540;[];False
47;Luke Organa;65;4.86;Coreia do Sul;2628;[3169, 2624, 3697, 3594, 2093, 1166, 1843, 1426, 1696, 3320];True
48;Emmett Parker;77;4.9;Brasil;2518;[1452, 3956, 1876, 3807, 3104, 3187];True
49;Gandalf Dawson;28;4.02;Argentina;3048;[2882, 3038, 3384, 3872];False
50;Luke Wayne;26;4.08;Coreia do Sul;1239;[2896, 2280, 2941, 1104, 3517, 2090];True
51;Leia Dawson;38;3.17;Japão;1090;[3037, 1505, 2416, 3845, 1626, 1639, 2263];True
52;Leia Baggins;34;3.23;Suécia;3123;[3739, 3262, 2282, 3451, 2115];False
53;Marty Grey;26;4.5;Índia;2528;[1266, 1930, 1708];False
54;Peter Dawson;18;4.9;Finlândia;3526;[1328, 2770, 1816, 1116];False
55;Gwen Bond;24;3.65;África do Sul;2657;[2997, 1682];False
56;Ellen Skywalker;60;1.92;Nova Zelândia;1065;[3035, 3115, 2728, 3898, 2736, 3515, 3348];True
57;Pepper DeWitt Bukater;58;3.38;Itália;2062;[1539, 1990, 2685, 1133, 1199, 1972, 1075, 3989, 1389, 2998];True
58;Leia Grey;36;1.08;Noruega;2021;[2596, 2808, 2061, 3711, 1071];False
59;Pepper Brown;19;2.4;Nova Zelândia;3052;[1217, 3344, 1347, 2740, 1546, 3202, 3245, 3079, 1289];True
60;Samwise Kent;23;2.44;Alemanha;2841;[3315, 3567, 3202, 1610, 2874];False
61;Emmett Stark;43;2.83;Coreia do Sul;2515;[3405, 1430];False
62;Rose Dawson;53;3.12;Índia;3789;[3874, 2617, 3629];False
63;Jack Brown;76;3.85;Argentina;2225;[3659, 2665, 2793, 1782, 1066, 2281, 3642, 3043, 3718, 1428];True
