1;Peter Stacy;21;1.22;Japão;3921;[1155, 3144, 3446, 2628, 1534, 2473, 3549, 2227, 3027];True
2;Luke McFly;35;2.91;Coreia do Sul;2925;[3990, 1078, 2973, 1541, 3344, 3385, 2147, 2175, 1486];True
3;John Wayne;66;3.92;Austrália;2015;[3024, 3528, 3316, 3724, 2115, 1088, 2980];True
4;Pepper Organa;46;1.98;Egito;2760;[3622];False
5;Luke Prince;18;2.65;Itália;3819;[];False
6;Tony Stark;47;4.43;Austrália;3091;[2001, 2981, 2808, 1974, 3166, 1841, 1818, 2318];True
7;Gandalf Wayne;25;1.52;Finlândia;2289;[3679, 2757];False
8;Gwen Solo;61;4.0;Argentina;2544;[1609, 1994, 2534, 2382, 3482, 3817, 3212, 3281, 1672, 3213];True
9;Leia Grey;45;3.64;Suécia;2334;[3366, 2075, 2739, 3599, 2816, 2942, 1409, 3683];True
10;Peter Skywalker;39;2.41;Índia;2944;[1401, 3945, 2724, 3934, 2898, 2478];True
11;Gwen McFly;78;3.19;Coreia do Sul;2500;[1320, 1951, 2126, 1239, 1663];False
12;Samwise Brown;52;4.12;Egito;1037;[3008, 2040, 2733, 2365, 2491, 1327, 2846, 1525];True
13;James Gamgee;45;3.83;Alemanha;3015;[1769, 2328, 2978, 3410, 3842, 1010, 1739, 1207, 1081, 2182];True
14;Pepper McFly;79;2.63;Japão;1904;[3072, 2490, 2289, 2132, 2935, 2975, 3521];True
15;Han Gamgee;21;3.38;Suécia;2798;[2847, 3580, 1088, 1543, 1417, 3591, 1297];True
16;Gwen Wick;54;3.26;Alemanha;1824;[2568, 2752, 1649, 1455, 1952, 1980];True
17;Gandalf Stark;67;4.95;Alemanha;2213;[1257, 1384, 2490, 3802, 1141, 1190, 1934, 3007];True
18;Peter Kent;53;4.07;Suécia;3641;[2937, 1808, 2479, 2611, 1370, 1361];True
19;Pepper Baggins;45;4.6;México;1686;[3478];False
20;Bilbo Skywalker;20;4.0;Espanha;2829;[3237, 1824, 2663, 2349, 3498, 3245, 2470, 2609, 3048, 3869];True
21;Luke DeWitt Bukater;64;3.64;Chile;2461;[2115];False
22;John Connor;75;1.38;Noruega;1131;[1480, 3143, 3539, 2112, 3685, 3036, 3830, 1698, 1090];True
23;Samwise Dawson;41;2.3;Brasil;2252;[2305, 1249, 1512, 3994, 3705, 2087, 3559];True
24;Frodo Organa;49;4.15;Finlândia;1207;[1904, 3985, 3051];False
25;Bruce Brown;74;1.31;Finlândia;1978;[3229, 1093, 3971, 1859];False
26;Han Bond;71;3.7;Alemanha;1207;[1610, 1560, 3909, 1042, 2568, 3568, 1175, 1824, 2515];True
27;Emmett Parker;69;2.27;Portugal;3773;[];False
28;Gandalf McFly;34;4.94;México;3545;[2751, 3936];False
29;Samwise Wayne;74;2.72;África do Sul;1641;[3581, 3679, 2726, 1517, 2339, 1849];True
30;Bruce Grey;62;2.84;Suécia;2234;[1579, 3892, 3935, 2403, 3241, 2917, 2790, 2776, 2364, 1994];True
31;Tony Brown;48;4.65;Índia;2968;[2825];False
32;Gandalf Wick;18;3.79;Egito;2504;[1185, 2700, 3276, 2316, 1379, 1508, 3058];True
33;Pepper Stark;30;4.08;Coreia do Sul;1585;[2444, 1084, 1710, 2029, 3061, 2711, 2589, 2916, 1622, 1057];True
34;Anakin Grey;73;4.44;Suécia;1151;[1787];False
35;Diana Stark;26;1.86;Índia;3105;[1969];False
36;Leia Connor;70;4.2;Argentina;1451;[3913];False
37;Ellen Brown;38;1.86;Argentina;3115;[2365, 2391, 1549, 1052, 1264, 1655, 3938];True
38;Tony Parker;61;4.07;Espanha;2274;[1527, 3640, 3581, 2537, 2790, 1732, 3128, 2062];True
39;Jack Kent;43;3.44;Egito;2897;[2003, 2526, 3502, 3140, 1879, 2797];True
40;Frodo Wayne;44;2.69;Alemanha;2919;[2749, 1871, 2689, 1705, 1820, 2575, 3528, 3730, 3426, 1544];True
41;Indiana Jones;65;2.33;Espanha;2208;[1310, 2662, 2191, 1214, 3040];False
42;Bruce Wayne;54;1.9;Canadá;3742;[2268];False
43;Emmett Connor;69;2.8;Coreia do Sul;3588;[2137, 1191, 1812, 3902, 3831, 2512];True
44;Bruce Organa;51;4.83;Canadá;2717;[1789, 2164, 2365, 1887, 1247, 1125, 1280, 1294];True
45;James Gamgee;49;1.59;Suécia;2215;[3904, 1195, 3175, 1447];False
46;Frodo Baggins;60;3.49;França;1792;[3856, 1044, 3799, 1845, 3499, 2563, 3644];True
47;Emmett Stark;69;1.67;Índia;2941;[2744];False
48;James Dawson;38;2.27;Suécia;2567;[1736, 2690];False
49;Bruce DeWitt Bukater;28;4.1;Argentina;1568;[1509, 3063, 3114, 1547];False
50;Bruce Wick;49;1.97;Nova Zelândia;3934;[1302, 1925, 2925];False
51;Bruce Bond;48;4.36;Coreia do Sul;1830;[1293, 2649, 1714, 2575, 2920, 2948, 3394, 1892];True
52;Leia Skywalker;22;2.01;França;2975;[1751, 3523, 2622, 3704, 3791, 3116, 1339, 2854, 1976, 1884];True
53;Indiana Stark;80;3.61;Nova Zelândia;1713;[3516, 2701, 3317];False
54;Emmett Organa;47;3.87;Itália;2789;[3889, 3279, 1519, 2402, 1820, 3881, 1561, 2996];True
55;Sarah Brown;32;2.04;Nova Zelândia;1400;[2940, 2810];False
56;Bruce Parker;41;1.22;Espanha;2630;[3179, 3635, 3832];False
57;Pepper Grey;35;2.3;México;3511;[2082, 2088, 3320, 1279, 3926, 2300, 3149, 3739, 1759, 3759];True
58;Diana Organa;52;4.08;Itália;3628;[3369, 1362, 1496, 3579, 1545, 1460, 3613];True
59;Ellen Stark;45;1.88;Brasil;1410;[1230, 2077, 1608];False
60;Diana Organa;18;2.83;França;2840;[1901, 2190, 1356, 2712, 3200];False
61;Luke Prince;69;1.02;Chile;1869;[];False
62;Gwen Connor;18;3.3;Argentina;3897;[1277, 3526];False
63;Ellen Wick;79;1.13;Suécia;1947;[2309, 1206, 3254, 2915, 2754, 1114, 2281, 2589, 2497, 1178];True
64;Pepper Connor;28;1.1;Chile;1384;[3327, 1583, 1976, 1495];False
65;Samwise Prince;69;3.06;Japão;1164;[];False
66;Luke Jones;80;2.09;Espanha;2321;[2838, 2481, 2156, 2969, 2308, 1054];True
